"Cost per message in GBP on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,GBP,"4,500,001","40,000,000",Tier rate,0.0177,-15%,"10,000,001","20,000,000",Tier rate,0.0177,-15%,n/a,n/a,n/a,n/a,n/a
,GBP,"40,000,001","80,000,000",Tier rate,0.0166,-20%,"20,000,001","40,000,000",Tier rate,0.0166,-20%,n/a,n/a,n/a,n/a,n/a
,GBP,"80,000,001",--,Tier rate,0.0156,-25%,"40,000,001",--,Tier rate,0.0156,-25%,n/a,n/a,n/a,n/a,n/a
Russia,GBP,0,"100,000",List rate,0.0288,0%,0,"300,000",List rate,0.0288,0%,n/a,n/a,n/a,n/a,n/a
,GBP,"100,001","1,000,000",Tier rate,0.0274,-5%,"300,001","2,000,000",Tier rate,0.0274,-5%,n/a,n/a,n/a,n/a,n/a
,GBP,"1,000,001","4,500,000",Tier rate,0.0259,-10%,"2,000,001","10,000,000",Tier rate,0.0259,-10%,n/a,n/a,n/a,n/a,n/a
,GBP,"4,500,001","40,000,000",Tier rate,0.0245,-15%,"10,000,001","20,000,000",Tier rate,0.0245,-15%,n/a,n/a,n/a,n/a,n/a
,GBP,"40,000,001","80,000,000",Tier rate,0.0230,-20%,"20,000,001","40,000,000",Tier rate,0.0230,-20%,n/a,n/a,n/a,n/a,n/a
,GBP,"80,000,001",--,Tier rate,0.0216,-25%,"40,000,001",--,Tier rate,0.0216,-25%,n/a,n/a,n/a,n/a,n/a
Saudi Arabia,GBP,0,"100,000",List rate,0.0077,0%,0,"300,000",List rate,0.0077,0%,0,"300,000",List rate,0.0431,0%
,GBP,"100,001","1,000,000",Tier rate,0.0073,-5%,"300,001","2,000,000",Tier rate,0.0073,-5%,"300,001","2,000,000",Tier rate,0.0409,-5%
,GBP,"1,000,001","4,500,000",Tier rate,0.0069,-10%,"2,000,001","10,000,000",Tier rate,0.0069,-10%,"2,000,001","10,000,000",Tier rate,0.0388,-10%
,GBP,"4,500,001","40,000,000",Tier rate,0.0065,-15%,"10,000,001","20,000,000",Tier rate,0.0065,-15%,"10,000,001","20,000,000",Tier rate,0.0366,-15%
,GBP,"40,000,001","80,000,000",Tier rate,0.0062,-20%,"20,000,001","40,000,000",Tier rate,0.0062,-20%,"20,000,001","40,000,000",Tier rate,0.0345,-20%
,GBP,"80,000,001",--,Tier rate,0.0058,-25%,"40,000,001",--,Tier rate,0.0058,-25%,"40,000,001",--,Tier rate,0.0323,-25%
Singapore,GBP,0,"150,000",List rate,0.0116,0%,0,"100,000",List rate,0.0116,0%,n/a,n/a,n/a,n/a,n/a
,GBP,"150,001","1,000,000",Tier rate,0.0110,-5%,"100,001","300,000",Tier rate,0.0110,-5%,n/a,n/a,n/a,n/a,n/a
,GBP,"1,000,001","4,000,000",Tier rate,0.0104,-10%,"300,001","1,000,000",Tier rate,0.0104,-10%,n/a,n/a,n/a,n/a,n/a
,GBP,"4,000,001","25,000,000",Tier rate,0.0099,-15%,"1,000,001","10,000,000",Tier rate,0.0099,-15%,n/a,n/a,n/a,n/a,n/a
,GBP,"25,000,001","50,000,000",Tier rate,0.0093,-20%,"10,000,001","20,000,000",Tier rate,0.0093,-20%,n/a,n/a,n/a,n/a,n/a
,GBP,"50,000,001",--,Tier rate,0.0087,-25%,"20,000,001",--,Tier rate,0.0087,-25%,n/a,n/a,n/a,n/a,n/a
South Africa,GBP,0,"100,000",List rate,0.0055,0%,0,"300,000",List rate,0.0055,0%,0,"300,000",List rate,0.0144,0%
,GBP,"100,001","1,000,000",Tier rate,0.0052,-5%,"300,001","2,000,000",Tier rate,0.0052,-5%,"300,001","2,000,000",Tier rate,0.0137,-5%
,GBP,"1,000,001","4,500,000",Tier rate,0.0050,-10%,"2,000,001","10,000,000",Tier rate,0.0050,-10%,"2,000,001","10,000,000",Tier rate,0.0130,-10%
,GBP,"4,500,001","40,000,000",Tier rate,0.0047,-15%,"10,000,001","20,000,000",Tier rate,0.0047,-15%,"10,000,001","20,000,000",Tier rate,0.0122,-15%
,GBP,"40,000,001","80,000,000",Tier rate,0.0044,-20%,"20,000,001","40,000,000",Tier rate,0.0044,-20%,"20,000,001","40,000,000",Tier rate,0.0115,-20%
,GBP,"80,000,001",--,Tier rate,0.0041,-25%,"40,000,001",--,Tier rate,0.0041,-25%,"40,000,001",--,Tier rate,0.0108,-25%
