"Cost per message in SAR on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,SAR,"100,001","1,000,000",Tier rate,0.0381,-5%,"300,001","2,000,000",Tier rate,0.0381,-5%,"300,001","2,000,000",Tier rate,0.2128,-5%
,SAR,"1,000,001","4,500,000",Tier rate,0.0361,-10%,"2,000,001","10,000,000",Tier rate,0.0361,-10%,"2,000,001","10,000,000",Tier rate,0.2016,-10%
,SAR,"4,500,001","40,000,000",Tier rate,0.0341,-15%,"10,000,001","20,000,000",Tier rate,0.0341,-15%,"10,000,001","20,000,000",Tier rate,0.1904,-15%
,SAR,"40,000,001","80,000,000",Tier rate,0.0321,-20%,"20,000,001","40,000,000",Tier rate,0.0321,-20%,"20,000,001","40,000,000",Tier rate,0.1792,-20%
,SAR,"80,000,001",--,Tier rate,0.0301,-25%,"40,000,001",--,Tier rate,0.0301,-25%,"40,000,001",--,Tier rate,0.1680,-25%
Singapore,SAR,0,"150,000",List rate,0.0599,0%,0,"100,000",List rate,0.0599,0%,n/a,n/a,n/a,n/a,n/a
,SAR,"150,001","1,000,000",Tier rate,0.0569,-5%,"100,001","300,000",Tier rate,0.0569,-5%,n/a,n/a,n/a,n/a,n/a
,SAR,"1,000,001","4,000,000",Tier rate,0.0539,-10%,"300,001","1,000,000",Tier rate,0.0539,-10%,n/a,n/a,n/a,n/a,n/a
,SAR,"4,000,001","25,000,000",Tier rate,0.0509,-15%,"1,000,001","10,000,000",Tier rate,0.0509,-15%,n/a,n/a,n/a,n/a,n/a
,SAR,"25,000,001","50,000,000",Tier rate,0.0479,-20%,"10,000,001","20,000,000",Tier rate,0.0479,-20%,n/a,n/a,n/a,n/a,n/a
,SAR,"50,000,001",--,Tier rate,0.0449,-25%,"20,000,001",--,Tier rate,0.0449,-25%,n/a,n/a,n/a,n/a,n/a
South Africa,SAR,0,"100,000",List rate,0.0285,0%,0,"300,000",List rate,0.0285,0%,0,"300,000",List rate,0.0749,0%
,SAR,"100,001","1,000,000",Tier rate,0.0271,-5%,"300,001","2,000,000",Tier rate,0.0271,-5%,"300,001","2,000,000",Tier rate,0.0712,-5%
