"Cost per message in IDR on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,IDR,"4,000,001","25,000,000",Tier rate,194.10,-15%,"1,000,001","10,000,000",Tier rate,194.10,-15%,n/a,n/a,n/a,n/a,n/a
,IDR,"25,000,001","50,000,000",Tier rate,182.68,-20%,"10,000,001","20,000,000",Tier rate,182.68,-20%,n/a,n/a,n/a,n/a,n/a
,IDR,"50,000,001",--,Tier rate,171.26,-25%,"20,000,001",--,Tier rate,171.26,-25%,n/a,n/a,n/a,n/a,n/a
South Africa,IDR,0,"100,000",List rate,108.64,0%,0,"300,000",List rate,108.64,0%,0,"300,000",List rate,285.89,0%
,IDR,"100,001","1,000,000",Tier rate,103.21,-5%,"300,001","2,000,000",Tier rate,103.21,-5%,"300,001","2,000,000",Tier rate,271.60,-5%
,IDR,"1,000,001","4,500,000",Tier rate,97.78,-10%,"2,000,001","10,000,000",Tier rate,97.78,-10%,"2,000,001","10,000,000",Tier rate,257.30,-10%
,IDR,"4,500,001","40,000,000",Tier rate,92.34,-15%,"10,000,001","20,000,000",Tier rate,92.34,-15%,"10,000,001","20,000,000",Tier rate,243.01,-15%
,IDR,"40,000,001","80,000,000",Tier rate,86.91,-20%,"20,000,001","40,000,000",Tier rate,86.91,-20%,"20,000,001","40,000,000",Tier rate,228.71,-20%
,IDR,"80,000,001",--,Tier rate,81.48,-25%,"40,000,001",--,Tier rate,81.48,-25%,"40,000,001",--,Tier rate,214.42,-25%
Spain,IDR,0,"100,000",List rate,285.24,0%,0,"300,000",List rate,285.24,0%,n/a,n/a,n/a,n/a,n/a
,IDR,"100,001","1,000,000",Tier rate,270.98,-5%,"300,001","2,000,000",Tier rate,270.98,-5%,n/a,n/a,n/a,n/a,n/a
,IDR,"1,000,001","4,500,000",Tier rate,256.72,-10%,"2,000,001","10,000,000",Tier rate,256.72,-10%,n/a,n/a,n/a,n/a,n/a
,IDR,"4,500,001","40,000,000",Tier rate,242.45,-15%,"10,000,001","20,000,000",Tier rate,242.45,-15%,n/a,n/a,n/a,n/a,n/a
