"Cost per message in MXN on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,MXN,"80,000,001",--,Tier rate,0.1684,-25%,"40,000,001",--,Tier rate,0.1684,-25%,n/a,n/a,n/a,n/a,n/a
Qatar,MXN,0,"100,000",List rate,0.2209,0%,0,"300,000",List rate,0.2209,0%,n/a,n/a,n/a,n/a,n/a
,MXN,"100,001","1,000,000",Tier rate,0.2099,-5%,"300,001","2,000,000",Tier rate,0.2099,-5%,n/a,n/a,n/a,n/a,n/a
,MXN,"1,000,001","4,500,000",Tier rate,0.1988,-10%,"2,000,001","10,000,000",Tier rate,0.1988,-10%,n/a,n/a,n/a,n/a,n/a
,MXN,"4,500,001","40,000,000",Tier rate,0.1878,-15%,"10,000,001","20,000,000",Tier rate,0.1878,-15%,n/a,n/a,n/a,n/a,n/a
,MXN,"40,000,001","80,000,000",Tier rate,0.1767,-20%,"20,000,001","40,000,000",Tier rate,0.1767,-20%,n/a,n/a,n/a,n/a,n/a
,MXN,"80,000,001",--,Tier rate,0.1657,-25%,"40,000,001",--,Tier rate,0.1657,-25%,n/a,n/a,n/a,n/a,n/a
Romania,MXN,0,"100,000",List rate,0.5338,0%,0,"300,000",List rate,0.5338,0%,n/a,n/a,n/a,n/a,n/a
,MXN,"100,001","1,000,000",Tier rate,0.5071,-5%,"300,001","2,000,000",Tier rate,0.5071,-5%,n/a,n/a,n/a,n/a,n/a
,MXN,"1,000,001","4,500,000",Tier rate,0.4804,-10%,"2,000,001","10,000,000",Tier rate,0.4804,-10%,n/a,n/a,n/a,n/a,n/a
,MXN,"4,500,001","40,000,000",Tier rate,0.4537,-15%,"10,000,001","20,000,000",Tier rate,0.4537,-15%,n/a,n/a,n/a,n/a,n/a
,MXN,"40,000,001","80,000,000",Tier rate,0.4270,-20%,"20,000,001","40,000,000",Tier rate,0.4270,-20%,n/a,n/a,n/a,n/a,n/a
,MXN,"80,000,001",--,Tier rate,0.4004,-25%,"40,000,001",--,Tier rate,0.4004,-25%,n/a,n/a,n/a,n/a,n/a
Russia,MXN,0,"100,000",List rate,0.7362,0%,0,"300,000",List rate,0.7362,0%,n/a,n/a,n/a,n/a,n/a
,MXN,"100,001","1,000,000",Tier rate,0.6994,-5%,"300,001","2,000,000",Tier rate,0.6994,-5%,n/a,n/a,n/a,n/a,n/a
